"Classificazione aziende ed enti"
"Enti e associazioni private non dotate di codice fiscale"
"associazione di categoria di imprese (specificare)"
"azienda estera"
"enti di promozione sportiva riconosciuti dal CONI"
"enti e associazioni private non dotate di codice fiscale"
"enti privati del terzo settore (anche volontariato)"
"enti privati profit"
"enti privatii non economici (no-profit)"
"enti pubblici del terzo settore (anche volontariato)"
"enti pubblici non economici (no-profit)"
"enti pubblici profit"
"impresa"
"istituti pubblici"
"istituti privati settore attività artistiche e musicali"
"ministero ( quale)"
"musei"
"ordine professionale"
"professionista"
"scuola dell'infanzia"
"scuola primaria"
"scuola secondaria I grado"
"scuola secondaria II grado"
"sindacato"
